,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
1149,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Electrical Installation Works,Tema,-0.050088216,5.69031477,248,270.5,2
1150,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Atebubu,-1.065201521,7.675590515,207,240.7692308,13
1151,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Kpando,0.267385125,6.89685154,215,246.8,15
1152,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Kumasi Metro,-1.597187161,6.682059765,302,326.8625,160
1153,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,East Akim (Kibi),-0.454344213,6.178557873,341,360.8296296,135
1154,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Kwahu West (Nkawkaw),-0.801975071,6.527020931,245,273.4428571,70
1155,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Sekyere East (Effiduase),-0.844235957,7.210828781,216,264.6125,80
1156,"DORMAA SENIOR HIGH SCHOOL, DORMAA","Radio, TV & Electronics",Kumasi Metro,-1.597187161,6.682059765,298,318.0571429,35
1157,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Edina/Komenda/Eguafo,-1.437419772,5.140793324,213,241.862069,29
1158,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Offinso,-1.890868545,7.34876442,266,291.7125,80
1159,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Accra Metropolitan,-0.197115257,5.607395649,243,270.1260504,119
1160,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Kwaebibirem (Kade),-0.799037278,6.133318901,396,412.6421053,95
1161,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Ketu (Denu),1.032708645,6.111227512,214,250.65,40
1162,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Nzema East (Axim),-2.311802149,5.141225815,241,268.65,60
1163,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357,263,284.72,50
1164,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Birim South (Akim Oda),-0.969164491,5.864167213,208,247.6153846,26
1165,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Kumasi Metro,-1.597187161,6.682059765,387,403.6416667,120
1166,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Birim South (Akim Oda),-0.969164491,5.864167213,208,243.9333333,60
1167,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Yilo Krobo (Somanya),-0.18159321,6.186355114,255,281.1846154,130
1168,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Aowin Suaman (Enchi),-2.78972435,5.78654623,214,249.1538462,13
1169,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Akatsi,0.842700481,6.206889153,224,240.1818182,11
1170,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Accra Metropolitan,-0.197115257,5.607395649,259,277.5,50
1171,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Kwahu West (Nkawkaw),-0.801975071,6.527020931,245,273.4428571,70
1172,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Wenchi,-1.944841981,7.677614689,221,250.9756098,41
1173,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Ahafo Ano North (Tepa),-2.207579613,6.900829792,216,245,22
1174,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Sekyere East (Effiduase),-0.844235957,7.210828781,291,307.975,40
1175,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,West Akim (Asamankese),-0.609122574,5.833612442,239,264.2875,80
1176,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Akwapim North (Akropong),-0.166071147,5.976426125,211,238.4615385,13
1177,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Yilo Krobo (Somanya),-0.18159321,6.186355114,205,230.3333333,24
1178,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Amansie East (Bekwai),-1.37072885,6.383360863,276,302.45,60
1179,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675,222,248.0465116,43
1180,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418,342,359.8073394,109
1181,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Wassa Amenfi (Asankragwa),-2.302017927,5.72551775,211,241.9090909,55
1182,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Kwaebibirem (Kade),-0.799037278,6.133318901,243,266.8666667,60
1183,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Asutifi (Kenyasi),-2.515068054,7.028093815,220,246.5714286,7
1184,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Assin North (Assin Fosu),-1.374616981,5.77799511,212,246.3846154,52
1185,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Kpando,0.267385125,6.89685154,214,249.3877551,49
1186,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Cape Coast Municipal,-1.306593895,5.153656006,262,293.6285714,70
1187,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,New Juaben (Koforidua),-0.297512323,6.112612724,336,352.7333333,45
1188,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Ketu (Denu),1.032708645,6.111227512,238,283.4444444,135
1189,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357,263,284.72,50
1190,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Asuogyaman (Senchi Ferry),0.08832825,6.189229488,211,237,10
1191,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Carpentry & Joinery,Cape Coast Municipal,-1.306593895,5.153656006,213,260.4117647,17
